kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_steff,koi_slogg,koi_srad,koi_smass
"K00757.03",10910878,"Kepler-229 b","CONFIRMED","CANDIDATE",1.0000,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,0.0617,89.68,5031.00,4.485,0.8480,0.8010
"K00782.01",11960862,"Kepler-677 b","CONFIRMED","CANDIDATE",1.0000,6.575315881,173.634044,0.39,4.3084,2793.3,5.31,0.067,88.03,5992.00,4.415,0.9890,0.9270
"K00795.01",3114167,"Kepler-684 b","CONFIRMED","CANDIDATE",1.0000,6.770300385,170.57662,0.838,2.0844,1304,2.77,0.064,86.84,5653.00,4.656,0.6790,0.7670
"K00115.02",9579641,"Kepler-105 c","CONFIRMED","CANDIDATE",1.0000,7.12594387,139.00492,0.898,3.0014,192.4,1.79,0.0711,84.02,5779.00,4.339,1.0870,0.9410
"K00800.02",3342970,"Kepler-234 c","CONFIRMED","CANDIDATE",1.0000,7.21203748,172.81782,0.012,4.0491,950.4,3.32,0.077,89.95,6214.00,4.442,1.0760,1.1690
"K00783.01",12020329,"Kepler-678 b","CONFIRMED","CANDIDATE",1.0000,7.275040844,169.994217,0.547,7.5377,3001,4.86,0.0732,85.29,5485.00,4.556,0.8670,0.9860
"K00775.02",11754553,"Kepler-52 b","CONFIRMED","CANDIDATE",1.0000,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,0.0665,89.92,4126.00,4.661,0.6150,0.6330
"K00749.03",10601284,"Kepler-226 d","CONFIRMED","CANDIDATE",0.9710,8.10904807,132.8031,0.025,3.596,217.4,1.3,0.0743,89.92,5185.00,4.440,0.9100,0.8310
"K00765.01",11391957,"Kepler-668 b","CONFIRMED","CANDIDATE",1.0000,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,0.0768,89.95,5592.00,4.582,0.7870,0.8620
"K00790.01",12470844,"Kepler-233 b","CONFIRMED","CANDIDATE",1.0000,8.47237911,174.16212,0.022,2.7245,1123.5,2.59,0.0778,89.95,5354.00,4.587,0.7880,0.8840
"K00746.01",10526549,"Kepler-660 b","CONFIRMED","CANDIDATE",1.0000,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,0.0759,88.93,4856.00,4.583,0.6960,0.6760
"K00752.01",10797460,"Kepler-227 b","CONFIRMED","CANDIDATE",1.0000,9.48803557,170.53875,0.146,2.9575,615.8,2.26,0.0853,89.66,5455.00,4.467,0.9270,0.9190
"K00784.02",12066335,"Kepler-231 b","CONFIRMED","CANDIDATE",1.0000,10.06524317,136.28906,0.628,1.369,1053.3,1.91,0.076,89.22,4077.00,4.702,0.5600,0.5760
"K00756.01",10872983,"Kepler-228 d","CONFIRMED","CANDIDATE",1.0000,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,0.0992,88.11,6046.00,4.486,0.9720,1.0530
"K00787.02",12366084,"Kepler-232 c","CONFIRMED","CANDIDATE",1.0000,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,0.0993,86.8,5714.00,4.428,1.0150,1.0070
"K00781.01",11923270,"Kepler-676 b","CONFIRMED","CANDIDATE",1.0000,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,0.0798,88.62,3688.00,4.790,0.4730,0.5030
"K00785.01",12070811,"Kepler-679 b","CONFIRMED","CANDIDATE",1.0000,12.3935651,178.74725,0.883,3.8896,916.6,2.66,0.0983,86.13,5557.00,4.603,0.7500,0.8320
"K00791.01",12644822,"Kepler-682 b","CONFIRMED","CANDIDATE",1.0000,12.611904345,180.892284,0.55,5.1497,6105.6,7.4,0.1058,88.17,5795.00,4.508,0.9190,0.9920
"K00116.01",8395660,"Kepler-106 c","CONFIRMED","CANDIDATE",1.0000,13.57078281,136.279194,0.866,3.3539,511.7,2.64,0.1096,87.07,5854.00,4.406,1.0120,0.9510
"K00758.01",10987985,"Kepler-665 b","CONFIRMED","CANDIDATE",1.0000,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,0.1148,88.14,5015.00,4.499,0.8260,0.7850
"K00757.01",10910878,"Kepler-229 c","CONFIRMED","CANDIDATE",1.0000,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,0.1158,89.92,5031.00,4.485,0.8480,0.8010
"K00775.01",11754553,"Kepler-52 c","CONFIRMED","CANDIDATE",1.0000,16.38489988,172.72782,0.001,3.0249,1127.1,2,0.1084,90,4126.00,4.661,0.6150,0.6330
"K00784.01",12066335,"Kepler-231 c","CONFIRMED","CANDIDATE",1.0000,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,0.1171,89.97,4077.00,4.702,0.5600,0.5760
"K00812.02",4139816,"Kepler-235 d","CONFIRMED","CANDIDATE",1.0000,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,0.115,89.21,3950.00,4.754,0.4930,0.5020
"K00750.01",10662202,"Kepler-662 b","CONFIRMED","CANDIDATE",1.0000,21.67699193,171.53594,0.896,3.4555,857.2,2.95,0.1408,87.91,4954.00,4.500,0.8280,0.7910
"K00788.01",12404086,"Kepler-681 b","CONFIRMED","CANDIDATE",1.0000,26.39432897,176.05459,0.602,3.573,1510.9,3.07,0.1635,89.28,5129.00,4.595,0.7630,0.8460
"K00759.01",11018648,"Kepler-230 b","CONFIRMED","CANDIDATE",1.0000,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,0.1889,89.98,5586.00,4.560,0.7980,0.8440
"K00775.03",11754553,"Kepler-52 d","CONFIRMED","CANDIDATE",1.0000,36.4454001,151.60125,0.028,4.007,1122.3,1.99,0.1847,89.98,4126.00,4.661,0.6150,0.6330
"K00773.01",11507101,"Kepler-672 b","CONFIRMED","CANDIDATE",1.0000,38.3775486,172.82048,0.468,5.588,724.2,2.82,0.2163,89.44,5481.00,4.369,1.0360,0.9150
"K00757.02",10910878,"Kepler-229 d","CONFIRMED","CANDIDATE",0.9920,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,0.217,89.96,5031.00,4.485,0.8480,0.8010
"K00764.01",11304958,"Kepler-667 b","CONFIRMED","CANDIDATE",0.9980,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,0.2288,89.31,5468.00,4.367,1.0460,0.9300
"K00116.02",8395660,"Kepler-106 e","CONFIRMED","CANDIDATE",0.9980,43.84439721,151.93538,0.852,6.802,615.2,2.87,0.2395,88.27,5854.00,4.406,1.0120,0.9510
"K00812.03",4139816,"Kepler-235 e","CONFIRMED","CANDIDATE",1.0000,46.1842039,165.23729,0.013,4.758,1394.7,1.83,0.2005,89.99,3950.00,4.754,0.4930,0.5020
"K00752.02",10797460,"Kepler-227 c","CONFIRMED","CANDIDATE",0.9690,54.4183827,162.51384,0.586,4.507,874.8,2.83,0.2734,89.57,5455.00,4.467,0.9270,0.9190
"K00790.02",12470844,"Kepler-233 c","CONFIRMED","CANDIDATE",0.9890,60.4189369,181.16367,0.094,5.039,931.3,2.36,0.2884,89.94,5354.00,4.587,0.7880,0.8840
"K00759.02",11018648,"Kepler-230 c","CONFIRMED","CANDIDATE",0.9780,91.7732862,193.8378,0.606,6.473,652,2.12,0.3764,89.61,5586.00,4.560,0.7980,0.8440
